id,name,pos,age,tier,salary,contractYear,T1_PER,T1_TS,T1_WS,T1_VORP,T1_PTS,T1_AST,T1_TRB,T1_TOV,T_PER,T_TS,T_WS,T_VORP,T_PTS,T_AST,T_TRB,T_TOV,T2_PER,T2_TS,T2_WS,T2_VORP,T2_PTS,T2_AST,T2_TRB,T2_TOV
1,R. Westbrook,PG,28,Max,41,2017,27.6,55.4,14.0,6.8,23.5,10.4,7.8,4.3,30.6,55.4,13.1,9.3,31.6,10.4,10.7,5.4,24.7,52.4,10.1,6.1,25.4,10.3,10.1,4.8
2,J. Harden,PG,29,Max,43,2019,29.8,61.9,15.4,7.7,30.4,8.8,5.4,4.4,30.6,61.6,15.2,9.3,36.1,7.5,6.6,5.0,29.1,62.6,13.1,7.3,34.3,7.5,6.6,4.5
3,D. Lillard,PG,31,Max,44,2021,26.9,62.7,11.6,5.9,30.0,8.0,4.3,2.9,25.6,62.3,10.4,5.0,28.8,7.5,4.2,3.0,18.5,55.0,1.7,0.9,24.0,7.3,4.1,2.9
4,T. Young,PG,22,Max,42,2021,23.9,59.5,5.9,3.1,29.6,9.3,4.3,4.8,23.0,58.9,7.2,3.0,25.3,9.4,3.9,4.1,25.4,60.3,10.0,4.8,28.4,9.7,3.7,4.0
5,Z. LaVine,SG,27,Max,43,2022,21.5,63.4,5.9,3.1,27.4,4.9,5.0,3.5,20.0,60.5,5.8,2.6,24.4,4.5,4.6,2.6,19.0,60.7,7.1,2.7,24.8,4.2,4.5,2.5
6,K. Towns,C,26,Max,56,2022,23.1,61.2,5.4,2.8,24.8,4.5,10.6,3.2,24.1,64.0,10.3,4.4,24.6,3.6,9.8,3.1,18.8,61.8,2.7,1.2,20.8,4.8,8.1,3.0
7,D. Booker,SG,25,Max,54,2022,19.2,58.7,4.9,1.3,25.6,4.3,4.2,3.1,21.3,57.6,7.6,3.6,26.8,4.8,5.0,2.4,22.0,60.1,6.0,2.9,27.8,5.5,4.5,2.7
8,J. Brown,SF,26,Max,61,2023,18.9,57.4,5.8,2.2,23.6,3.5,6.1,2.7,19.1,58.1,5.0,2.0,26.6,3.5,6.9,2.9,18.6,58.0,5.9,1.6,23.0,3.6,5.5,2.4
9,J. Noah,C,31,Mid,18,2016,15.3,48.2,5.6,2.1,7.2,4.7,9.6,1.8,14.1,40.6,1.1,0.6,4.3,3.8,8.8,1.8,15.2,49.1,2.2,0.4,5.0,2.2,8.8,1.3
10,L. Deng,SF,31,Mid,18,2016,15.5,56.1,5.4,1.2,14.0,1.9,5.2,1.5,15.0,54.9,6.4,1.7,12.3,1.9,6.0,1.1,10.1,47.0,0.9,0.0,7.6,1.3,5.3,0.8
11,C. Parsons,SF,27,Mid,24,2016,16.3,56.7,5.5,2.0,15.7,2.4,4.9,1.5,16.2,58.9,4.3,1.8,13.7,2.8,4.7,1.6,7.7,43.6,0.2,-0.3,6.2,1.6,2.5,0.7
12,E. Fournier,SG,28,Mid,20,2021,16.4,59.5,4.6,1.6,18.5,3.2,2.6,1.9,16.7,59.8,2.8,1.0,17.1,3.4,3.0,1.7,12.3,55.4,3.7,0.7,14.1,2.1,2.6,1.3
13,T. Mozgov,C,30,Mid,16,2016,16.6,59.4,5.7,0.7,9.7,0.7,7.3,1.4,14.6,59.3,3.7,0.2,6.3,0.4,4.4,0.9,12.3,55.3,1.1,-0.7,7.4,0.8,4.9,1.3
14,M. Dellavedova,PG,25,Low,10,2016,8.5,49.3,1.9,-0.3,4.8,3.0,1.9,0.9,11.3,52.7,3.8,0.4,7.5,4.4,2.1,1.5,9.4,50.1,1.2,-1.1,7.6,4.7,1.9,1.8
15,K. Korver,SG,33,Low,6,2014,13.9,63.7,6.4,2.2,10.9,2.0,4.0,0.9,13.5,65.3,5.9,1.9,12.0,2.9,4.0,1.4,14.8,69.9,7.5,3.0,12.1,2.6,4.1,1.4
16,P. Beverley,PG,29,Low,7,2017,13.0,55.3,4.4,1.1,9.9,3.4,3.5,1.3,13.0,54.6,5.3,1.6,9.5,4.2,5.9,1.5,12.4,53.0,0.4,0.2,12.2,2.9,4.1,2.3
17,M. Belinelli,SG,31,Low,7,2017,9.4,50.0,0.5,-0.8,10.2,1.9,1.7,1.2,13.3,56.6,3.2,0.4,10.5,2.0,2.4,0.9,14.1,58.1,3.7,0.8,12.1,1.9,1.9,1.2
18,T. Sefolosha,SF,30,Low,6,2014,12.8,61.7,6.8,2.5,7.6,1.5,3.9,0.8,10.4,51.7,3.0,0.9,6.3,1.5,3.6,0.9,13.8,50.6,2.5,0.8,5.3,1.4,4.3,0.7
